feature,mean_abs_shap
PREDICT_original_tf_GLCMMS_dissimilarityd1.0A0.79mean,0.0009409544453127358
PREDICT_original_tf_LBP_skewness_R15_P36,0.0009318439012070222
PREDICT_original_sf_area_min_2.5D,0.0009251222391421425
"PREDICT_original_vf_Frangi_edge_entropy_SR(1.0, 10.0)_SS2.0",0.0009214095700889016
"PREDICT_original_vf_Frangi_full_entropy_SR(1.0, 10.0)_SS2.0",0.0009214095700889016
PREDICT_original_logf_quartile_range_sigma1,0.000908616991083735
PREDICT_original_tf_LBP_kurtosis_R15_P36,0.0008994249144753736
PREDICT_original_tf_Gabor_median_F0.05_A2.36,0.0008991019002544139
PREDICT_original_tf_GLCM_contrastd1.0A1.57,0.0008872483166353871
PREDICT_original_tf_GLCMMS_contrastd1.0A0.79mean,0.0008872483166353866
PREDICT_original_tf_Gabor_peak_F0.2_A0.0,0.0008797599569087346
PREDICT_original_hf_std,0.0008745280606350619
PREDICT_original_tf_LBP_mean_R3_P12,0.0008730498879390638
PREDICT_original_hf_range,0.0008560892704381083
PREDICT_original_tf_Gabor_kurtosis_F0.2_A0.79,0.0008448395901273729
PREDICT_original_tf_GLCM_correlationd1.0A1.57,0.0008233355056779428
PREDICT_original_tf_Gabor_kurtosis_F0.5_A0.0,0.0007987773997268989
PREDICT_original_tf_GLCMMS_dissimilarityd1.0A0.0mean,0.000789687779177738
PREDICT_original_tf_GLCM_dissimilarityd1.0A0.0,0.0007896877791777376
PREDICT_original_tf_GLCM_contrastd1.0A0.0,0.000788871910916788
PREDICT_original_tf_GLCMMS_contrastd1.0A0.0mean,0.0007888719109167875
PREDICT_original_tf_GLCMMS_ASMd3.0A2.36std,0.0007846515962231684
PREDICT_original_tf_GLCMMS_correlationd1.0A0.0std,0.0007807085145420703
PREDICT_original_tf_GLCMMS_dissimilarityd1.0A0.0std,0.0007780285441067713
PREDICT_original_tf_GLCM_dissimilarityd1.0A0.79,0.000778028544106771
PREDICT_original_logf_median_sigma10,0.0007716917669172566
PREDICT_original_logf_quartile_range_sigma5,0.0007629313559333462
PREDICT_original_tf_GLCMMS_correlationd1.0A0.0mean,0.0007459034049346382
PREDICT_original_tf_Gabor_min_F0.5_A2.36,0.0007423634061796691
PREDICT_original_tf_Gabor_quartile_range_F0.05_A0.79,0.000740288816484618
PREDICT_original_tf_Gabor_mean_F0.5_A0.0,0.0007402365784359638
PREDICT_original_tf_GLCMMS_contrastd1.0A0.0std,0.0007386694593422428
PREDICT_original_tf_GLCM_contrastd1.0A0.79,0.0007386694593422425
PREDICT_original_logf_min_sigma5,0.000736719077126144
PREDICT_original_tf_Gabor_peak_F0.2_A1.57,0.000734779699224527
PREDICT_original_tf_Gabor_quartile_range_F0.05_A2.36,0.0007307207972694302
PREDICT_original_phasef_phasecong_quartile_range_WL3_N5,0.000729615639662148
PREDICT_original_sf_cvar_avg_2.5D,0.0007294764524259954
PREDICT_original_tf_Gabor_skewness_F0.2_A0.0,0.000728861037661242
PREDICT_original_tf_LBP_median_R3_P12,0.0007277077587172592
PREDICT_original_tf_Gabor_quartile_range_F0.5_A2.36,0.0007226754031594833
PREDICT_original_tf_Gabor_median_F0.05_A0.0,0.000721055851688472
PREDICT_original_logf_peak_sigma1,0.000713783569797542
PREDICT_original_logf_median_sigma1,0.000713783569797542
PREDICT_original_tf_Gabor_std_F0.05_A0.79,0.0007089888104440623
PREDICT_original_tf_GLCMMS_correlationd1.0A0.79std,0.0007048542881339558
PREDICT_original_phasef_phasecong_entropy_WL3_N5,0.0007043603180020866
PREDICT_original_tf_GLCMMS_dissimilarityd3.0A0.79mean,0.0007041682828930041
PREDICT_original_tf_Gabor_quartile_range_F0.2_A1.57,0.0006949646424470274
PREDICT_original_tf_GLCM_correlationd1.0A0.79,0.0006919190847192818
PREDICT_original_tf_GLCM_dissimilarityd1.0A2.36,0.0006864009999396052
PREDICT_original_tf_GLCMMS_dissimilarityd1.0A0.79std,0.0006864009999396046
PREDICT_original_tf_GLCMMS_contrastd1.0A0.79std,0.0006848986653011168
PREDICT_original_tf_GLCM_contrastd1.0A2.36,0.0006848986653011164
PREDICT_original_tf_Gabor_range_F0.05_A0.79,0.0006838185710713079
PREDICT_original_tf_Gabor_std_F0.05_A2.36,0.0006798150503606132
PREDICT_original_tf_Gabor_quartile_range_F0.05_A0.0,0.0006791554606176769
PREDICT_original_tf_Gabor_quartile_range_F0.05_A1.57,0.0006783082992361352
PREDICT_original_tf_GLCMMS_ASMd3.0A1.57mean,0.000677826942526855
PREDICT_original_tf_GLCMMS_ASMd3.0A0.0mean,0.0006751621090317054
PREDICT_original_tf_Gabor_peak_F0.2_A2.36,0.000673438015647129
PREDICT_original_tf_GLCM_correlationd1.0A0.0,0.0006729826019202707
PREDICT_original_tf_GLCM_dissimilarityd3.0A0.79,0.0006726114608882778
PREDICT_original_tf_GLCMMS_dissimilarityd1.0A1.57std,0.0006726114608882773
PREDICT_original_tf_GLCMMS_ASMd3.0A0.79std,0.0006696677940295409
PREDICT_original_tf_Gabor_range_F0.05_A2.36,0.0006615105804966437
PREDICT_original_tf_Gabor_range_F0.2_A2.36,0.0006581042211030935
PREDICT_original_tf_Gabor_median_F0.05_A0.79,0.0006574141114616297
PREDICT_original_sf_cvar_std_2.5D,0.0006545002780990552
PREDICT_original_tf_Gabor_min_F0.2_A0.0,0.0006542272037876715
PREDICT_original_hf_max,0.0006538181000689308
PREDICT_original_tf_Gabor_skewness_F0.05_A0.0,0.0006493454438128733
PREDICT_original_tf_LBP_kurtosis_R3_P12,0.0006453650143682344
PREDICT_original_tf_Gabor_quartile_range_F0.5_A0.79,0.0006407465781451805
PREDICT_original_tf_Gabor_peak_F0.05_A0.79,0.0006395488366964607
PREDICT_original_logf_range_sigma5,0.0006306769977325022
"PREDICT_original_vf_Frangi_full_skewness_SR(1.0, 10.0)_SS2.0",0.0006219463675002923
"PREDICT_original_vf_Frangi_edge_skewness_SR(1.0, 10.0)_SS2.0",0.0006219463675002923
PREDICT_original_tf_GLCMMS_dissimilarityd1.0A2.36std,0.0006199006129527548
PREDICT_original_tf_GLCM_dissimilarityd3.0A2.36,0.0006199006129527539
PREDICT_original_phasef_phasecong_mean_WL3_N5,0.0006087616852840708
PREDICT_original_tf_Gabor_std_F0.2_A2.36,0.000603003709369338
PREDICT_original_tf_GLCMMS_ASMd3.0A0.0std,0.0006021523484676494
PREDICT_original_tf_GLCMMS_correlationd3.0A1.57std,0.0005932456135303856
PREDICT_original_tf_Gabor_quartile_range_F0.2_A2.36,0.0005904622852105156
PREDICT_original_tf_GLCMMS_correlationd3.0A0.0std,0.0005889732940275467
PREDICT_original_tf_GLCMMS_ASMd3.0A2.36mean,0.0005889418449867464
PREDICT_original_logf_mean_sigma1,0.0005885931573346713
PREDICT_original_tf_Gabor_min_F0.5_A0.79,0.0005849510927682585
PREDICT_original_tf_GLCMMS_ASMd3.0A1.57std,0.000581424812758329
PREDICT_original_tf_LBP_quartile_range_R8_P24,0.0005794605426265064
PREDICT_original_tf_Gabor_skewness_F0.2_A0.79,0.0005769252715860689
"PREDICT_original_vf_Frangi_inner_entropy_SR(1.0, 10.0)_SS2.0",0.0005710293059124107
PREDICT_original_tf_GLCM_correlationd1.0A2.36,0.0005706554639424704
PREDICT_original_tf_GLCMMS_correlationd3.0A0.79mean,0.0005681294078160725
PREDICT_original_tf_GLCM_correlationd3.0A0.79,0.0005622425287715059
PREDICT_original_tf_Gabor_std_F0.05_A0.0,0.0005568465586780893
PREDICT_original_tf_GLCMMS_dissimilarityd3.0A0.0std,0.0005567995256599466
PREDICT_original_tf_GLCMMS_correlationd3.0A2.36mean,0.0005495025241095739
PREDICT_original_tf_Gabor_max_F0.2_A2.36,0.0005488495741970479
PREDICT_original_logf_std_sigma5,0.0005466733347463243
PREDICT_original_tf_GLCM_dissimilarityd3.0A0.0,0.0005461777689510929
PREDICT_original_tf_GLCMMS_dissimilarityd1.0A1.57mean,0.0005461777689510919
PREDICT_original_tf_GLCMMS_correlationd1.0A1.57std,0.000541037149850613
PREDICT_original_phasef_monogenic_kurtosis_WL3_N5,0.0005399629041692256
PREDICT_original_tf_GLCM_homogeneityd1.0A0.79,0.0005363804729413889
PREDICT_original_tf_GLCMMS_homogeneityd1.0A0.0std,0.0005363804729413872
PREDICT_original_tf_GLCMMS_dissimilarityd3.0A0.0mean,0.0005313561888338845
PREDICT_original_tf_Gabor_range_F0.05_A0.0,0.0005290774164787471
PREDICT_original_tf_Gabor_skewness_F0.2_A1.57,0.0005288992209316531
PREDICT_original_sf_rad_dist_avg_2.5D,0.0005284926450327236
PREDICT_original_tf_Gabor_max_F0.05_A2.36,0.0005250157751399094
PREDICT_original_tf_GLCMMS_homogeneityd1.0A0.79mean,0.0005245463788457048
PREDICT_original_tf_GLCM_homogeneityd1.0A1.57,0.0005245463788457023
PREDICT_original_tf_Gabor_median_F0.5_A0.0,0.0005230908219358097
PREDICT_original_tf_GLCMMS_ASMd3.0A0.79mean,0.0005180529070531928
PREDICT_original_tf_GLCMMS_contrastd1.0A2.36std,0.0005175731808964352
PREDICT_original_tf_GLCM_contrastd3.0A2.36,0.0005175731808964345
PREDICT_original_of_theta_z,0.000517474929665267
PREDICT_original_tf_Gabor_min_F0.2_A0.79,0.0005139691478763661
PREDICT_original_tf_Gabor_min_F0.5_A0.0,0.0005131634155150995
PREDICT_original_tf_GLCMMS_energyd3.0A0.0mean,0.0005125642157907341
PREDICT_original_phasef_phasesym_range_WL3_N5,0.0005124511016798323
PREDICT_original_phasef_phasesym_max_WL3_N5,0.0005124511016798323
PREDICT_original_logf_energy_sigma10,0.0005050794002361251
PREDICT_original_tf_Gabor_median_F0.2_A2.36,0.0004913301366062721
PREDICT_original_of_theta_y,0.000491232395535833
PREDICT_original_tf_GLCM_dissimilarityd3.0A1.57,0.0004910804356030866
PREDICT_original_tf_GLCMMS_dissimilarityd1.0A2.36mean,0.0004910804356030859
PREDICT_original_tf_GLCMMS_correlationd1.0A2.36std,0.0004909225637294489
PREDICT_original_tf_Gabor_median_F0.5_A1.57,0.0004889723132874283
PREDICT_original_tf_GLCM_contrastd3.0A0.0,0.0004879552192326051
PREDICT_original_tf_GLCMMS_contrastd1.0A1.57mean,0.0004879552192326047
PREDICT_original_tf_Gabor_std_F0.5_A2.36,0.00048284319705193423
PREDICT_original_tf_GLCMMS_homogeneityd1.0A0.0mean,0.00047708711221472694
PREDICT_original_tf_GLCM_homogeneityd1.0A0.0,0.0004770871122147266
PREDICT_original_tf_GLCMMS_energyd3.0A0.79std,0.00047207215366071195
PREDICT_original_tf_Gabor_quartile_range_F0.5_A1.57,0.00047169347883857065
PREDICT_original_tf_GLCM_homogeneityd1.0A2.36,0.00047141662185302106
PREDICT_original_tf_GLCMMS_homogeneityd1.0A0.79std,0.00047141662185302085
PREDICT_original_tf_GLCMMS_correlationd1.0A2.36mean,0.0004688044940896956
PREDICT_original_tf_Gabor_min_F0.2_A1.57,0.0004683469869356301
PREDICT_original_tf_GLCMMS_energyd3.0A0.79mean,0.0004639636644257442
PREDICT_original_tf_Gabor_skewness_F0.05_A1.57,0.000462024474082439
